trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,shape_dist_traveled
306,05:25:00,05:30:00,6,1,,0,0,
306,05:35:00,05:45:00,5,2,,0,0,
307,05:35:00,05:45:00,5,1,,0,0,
307,05:50:00,06:00:00,6,2,,0,0,
308,05:50:00,06:00:00,6,1,,0,0,
308,06:05:00,06:10:00,5,2,,0,0,
309,06:05:00,06:10:00,5,1,,0,0,
309,06:15:00,06:25:00,6,2,,0,0,
31,14:25:00,14:30:00,2,1,,0,0,
31,14:35:00,14:45:00,1,2,,0,0,
310,06:15:00,06:25:00,6,1,,0,0,
310,06:29:00,06:30:00,5,2,,0,0,
311,06:29:00,06:30:00,5,1,,0,0,
311,06:35:00,06:40:00,6,2,,0,0,
312,06:35:00,06:40:00,6,1,,0,0,
312,06:45:00,06:50:00,5,2,,0,0,
313,06:45:00,06:50:00,5,1,,0,0,
313,06:55:00,07:10:00,6,2,,0,0,
314,07:05:00,07:10:00,6,1,,0,0,
314,07:14:00,07:15:00,5,2,,0,0,
315,07:14:00,07:15:00,5,1,,0,0,
315,07:20:00,07:25:00,6,2,,0,0,
316,07:20:00,07:25:00,6,1,,0,0,
316,07:30:00,07:35:00,5,2,,0,0,
317,07:30:00,07:35:00,5,1,,0,0,
317,07:40:00,07:45:00,6,2,,0,0,
318,07:40:00,07:45:00,6,1,,0,0,
318,07:50:00,07:55:00,5,2,,0,0,
319,07:50:00,07:55:00,5,1,,0,0,
319,08:00:00,08:20:00,6,2,,0,0,
32,14:55:00,15:00:00,2,1,,0,0,
32,15:05:00,15:15:00,1,2,,0,0,
320,08:00:00,08:20:00,6,1,,0,0,
320,08:25:00,08:30:00,5,2,,0,0,
321,08:25:00,08:30:00,5,1,,0,0,
321,08:35:00,08:50:00,6,2,,0,0,
322,08:35:00,08:50:00,6,1,,0,0,
322,08:55:00,09:00:00,5,2,,0,0,
323,08:55:00,09:00:00,5,1,,0,0,
323,09:05:00,09:20:00,6,2,,0,0,
324,09:05:00,09:20:00,6,1,,0,0,
324,09:25:00,09:30:00,5,2,,0,0,
325,09:25:00,09:30:00,5,1,,0,0,
325,09:35:00,09:50:00,6,2,,0,0,
326,09:35:00,09:50:00,6,1,,0,0,
326,09:55:00,10:00:00,5,2,,0,0,
327,09:55:00,10:00:00,5,1,,0,0,
327,10:05:00,10:20:00,6,2,,0,0,
328,10:05:00,10:20:00,6,1,,0,0,
328,10:25:00,10:30:00,5,2,,0,0,
329,10:25:00,10:30:00,5,1,,0,0,
329,10:35:00,10:50:00,6,2,,0,0,
33,15:25:00,15:30:00,2,1,,0,0,
